Comment[SPOT_ID]	Comment[CONTROL_TYPE]	Comment[ORF]	Comment[GENE_NAME]	Comment[ACCESSION_STRING]	Reporter Comment
cmr|c_0339|asap|ABR-0076412	FALSE			cmr|c_0339|asap|ABR-0076412	Hypothetical protein [c_0339]
cmr|c_4547|asap|ABR-0080729	FALSE			cmr|c_4547|asap|ABR-0080729	S-adenosylmethionine synthetase [c_4547]
	FALSE	Z6072	unknown protein encoded by cryptic prophage CP-933P	cmr|Z6072|asap|ABH-0026357	unknown protein encoded by cryptic prophage CP-933P [Z6072]
asap|ABR-0081751	FALSE			asap|ABR-0081751	predicted ferredoxin []
	FALSE	rzpD	DLP12 prophage; predicted murein endopeptidase	cmr|b0556|cmr|b1362|asap|ABE-0285031|asap|ABE-0285049	bacteriophage lambda endopeptidase homolog [b0556]
	FALSE	ybgH	predicted transporter	cmr|b0709|asap|ABE-0002420	putative transport protein [b0709]
	FALSE	ypdC	Hypothetical transcriptional regulator ypdC	cmr|c_2921|asap|ABR-0079059	Hypothetical transcriptional regulator ypdC [c_2921]
	FALSE	ygiH	conserved inner membrane protein	cmr|b3059|asap|ABE-0010042	orf, hypothetical protein [b3059]
	FALSE	blc	outer membrane lipoprotein (lipocalin)	cmr|b4149|asap|ABE-0013590	outer membrane lipoprotein [b4149]
	FALSE	ybiF	threonine and homoserine efflux system	cmr|c_0899|asap|ABR-0076990	Hypothetical transport protein ybiF [c_0899]
	FALSE	rluD	23S rRNA pseudouridine synthase	cmr|b2594|asap|ABE-0008532	suppressor of ftsH mutation [b2594]
	FALSE	purK	N5-carboxyaminoimidazole ribonucleotide synthase	cmr|b0522|asap|ABE-0001794	phosphoribosylaminoimidazole carboxylase = AIR carboxylase, CO [b0522]
	FALSE	Z2090	putative repressor protein encoded within prophage CP-933O	cmr|Z2090|asap|ABH-0025869	putative repressor protein encoded within prophage CP-933O [Z2090]
	FALSE	yjcF	hypothetical protein	cmr|Z5665|asap|ABH-0029240	orf, hypothetical protein [Z5665]
	FALSE	hemX	predicted uroporphyrinogen III methylase	cmr|b3803|asap|ABE-0012419	uroporphyrinogen III methylase [b3803]
cmr|ECs1306|asap|ACA-0131236	FALSE			cmr|ECs1306|asap|ACA-0131236	hypothetical protein [ECs1306]
	FALSE	rfaB	UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase	cmr|b3628|asap|ABE-0011862	UDP-D-galactose: [b3628]
	FALSE	cstA	carbon starvation protein	cmr|b0598|asap|ABE-0002061	carbon starvation protein [b0598]
	FALSE	Z4879	putative phosphocarrier protein	cmr|Z4879|asap|ABH-0028532	putative phosphocarrier protein [Z4879]
	FALSE	ECs1181	N	cmr|ECs1181|asap|ACA-0131103	putative anti-termination protein N [ECs1181]
cmr|c_1550|asap|ABR-0077660	FALSE			cmr|c_1550|asap|ABR-0077660	Putative replication protein P of bacteriophage [c_1550]
	FALSE	ECs3239	hypothetical protein	cmr|ECs3239|asap|ACA-0133251	hypothetical protein [ECs3239]
	FALSE	uxaB	altronate oxidoreductase, NAD-dependent	cmr|b1521|asap|ABE-0005076	altronate oxidoreductase [b1521]
	FALSE	psiF	conserved protein	cmr|b0384|asap|ABE-0001330	induced by phosphate starvation [b0384]
	FALSE	ygeO	pseudo	cmr|b2859	orf, hypothetical protein [b2859]
	FALSE	yihI	conserved protein	cmr|b3866|asap|ABE-0012626	orf, hypothetical protein [b3866]
	FALSE	yceH	conserved protein	cmr|b1067|asap|ABE-0003625	orf, hypothetical protein [b1067]
cmr|c_0940|asap|ABR-0077031	FALSE			cmr|c_0940|asap|ABR-0077031	Hypothetical protein ybiI [c_0940]
cmr|b3111|asap|ABE-0174101	FALSE			cmr|b3111|asap|ABE-0174101	putative L-serine dehydratase [b3111]
	FALSE	ECs1300	hypothetical protein	cmr|ECs1300|asap|ACA-0131228	putative membrane protein [ECs1300]
	FALSE	malT	fused conserved protein: DNA-binding transcriptional activator/maltotriose-ATP-binding protein	cmr|b3418|asap|ABE-0011162	positive regulator of mal regulon [b3418]
	FALSE	ureF	putative urease accessory protein F	cmr|Z1147|cmr|Z1586|asap|ABH-0024970|asap|ABH-0025392	putative urease accessory protein F [Z1147]
	FALSE	yjbG	conserved protein	cmr|b4028|asap|ABE-0013174	orf, hypothetical protein [b4028]
cmr|ECs0278|cmr|ECs0277|cmr|ECs2987|asap|ACA-0130166	FALSE			cmr|ECs0278|cmr|ECs0277|cmr|ECs2987|asap|ACA-0130166	replication protein [ECs0278]
	FALSE	yfbS	predicted transporter	cmr|b2292|asap|ABE-0007565	putative transport protein [b2292]
	FALSE	ECs2792	hypothetical protein	cmr|ECs2792|asap|ACA-0132794	hypothetical protein [ECs2792]
	FALSE	psb1	putative regulator of SOS induction	asap|ABH-0244158	putative regulator of SOS induction [L7087]
	FALSE	ECs1561	hypothetical protein	cmr|ECs1561|asap|ACA-0131508	hypothetical protein [ECs1561]
	FALSE	nrdF	ribonucleoside-diphosphate reductase 2, beta subunit, ferritin-like protein	cmr|b2676|asap|ABE-0008808	ribonucleoside-diphosphate reductase 2, beta chain, frag [b2676]
	FALSE	narL	DNA-binding response regulator in two-component regulatory system with NarX (or NarQ)	cmr|c_1681|asap|ABR-0077792	Nitrate/nitrite response regulator protein narL [c_1681]
	FALSE	ilvN	acetolactate synthase I, small subunit	cmr|b3670|asap|ABE-0011997	acetolactate synthase I, valine sensitive, small subunit [b3670]
cmr|c_2494|asap|ABR-0078624	FALSE			cmr|c_2494|asap|ABR-0078624	Hypothetical protein [c_2494]
	FALSE	fhiA	FhiA protein	cmr|c_0377|asap|ABR-0076451	FhiA protein [c_0377]
asap|ABE-0285083	FALSE			asap|ABE-0285083	KpLE2 phage-like element; predicted transposase fragment (pseudogene) [b4562]
cmr|c_3188|asap|ABR-0079337	FALSE			cmr|c_3188|asap|ABR-0079337	Hypothetical protein [c_3188]
	FALSE	ygfQ	predicted transporter	cmr|b2884	orf, hypothetical protein [b2884]
	FALSE	ccmB	heme exporter subunit	cmr|b2200|asap|ABE-0007277	heme exporter protein B, cytochrome c-type biogenesis protein [b2200]
	FALSE	yfiD	pyruvate formate lyase subunit	cmr|b2579|asap|ABE-0008489	putative formate acetyltransferase [b2579]
	FALSE	Z3618	hypothetical protein	cmr|Z3618|asap|ABH-0027329	orf Unknown function [Z3618]
	FALSE	yehR	conserved protein	cmr|b2123|asap|ABE-0007018	orf, hypothetical protein [b2123]
	FALSE	intA	CP4-57 prophage; integrase	cmr|b2622|asap|ABE-0008630	prophage CP4-57 integrase [b2622]
	FALSE	ECs4592	hypothetical protein	cmr|ECs4592|asap|ACA-0134670	hypothetical protein [ECs4592]
	FALSE	hyfH	hydrogenase 4, Fe-S subunit	cmr|b2488|asap|ABE-0008196	hydrogenase 4 Fe-S subunit [b2488]
cmr|c_1431|asap|ABR-0077539	FALSE			cmr|c_1431|asap|ABR-0077539	Hypothetical protein [c_1431]
	FALSE	Z2562	putative transposase (partial)	cmr|Z2562|asap|ABH-0026292	putative transposase [Z2562]
cmr|c_4278|asap|ABR-0080454	FALSE			cmr|c_4278|asap|ABR-0080454	Putative phosphotransferase system enzyme subunit [c_4278]
cmr|c_2529|cmr|c_4573|cmr|c_5152|asap|ABR-0078662	FALSE			cmr|c_2529|cmr|c_4573|cmr|c_5152|asap|ABR-0078662	Putative radC-like protein yeeS [c_2529]
cmr|c_4206|asap|ABR-0080382	FALSE			cmr|c_4206|asap|ABR-0080382	Hypothetical protein [c_4206]
	FALSE	ECs1985	putative minor tail protein	cmr|ECs1985|cmr|ECs1555|cmr|ECs2238|cmr|ECs2723	putative minor tail protein [ECs1985]
	FALSE	nudC	NADH pyrophosphatase	cmr|b3996|asap|ABE-0013063	orf, hypothetical protein [b3996]
	FALSE	fdoH	Formate dehydrogenase-O beta subunit	cmr|c_4843|asap|ABR-0081042	Formate dehydrogenase-O beta subunit [c_4843]
	FALSE	ybdO	Hypothetical transcriptional regulator ybdO	cmr|c_0691|asap|ABR-0076767	Hypothetical transcriptional regulator ybdO [c_0691]
	FALSE	sixA	phosphohistidine phosphatase	cmr|b2340|asap|ABE-0007720	orf, hypothetical protein [b2340]
	FALSE	slp	outer membrane lipoprotein	cmr|b3506|asap|ABE-0011451	outer membrane protein induced after carbon starvation [b3506]
cmr|c_0100|asap|ABR-0076164	FALSE			cmr|c_0100|asap|ABR-0076164	S-adenosyl-methyltransferase mraW [c_0100]
	FALSE	yebW	predicted protein	cmr|b1837|asap|ABE-0006112	orf, hypothetical protein [b1837]
asap|ACA-0244245	FALSE			asap|ACA-0244245	transposase Tra5 []
	FALSE	rpsE	30S ribosomal subunit protein S5	cmr|b3303|asap|ABE-0010823	30S ribosomal subunit protein S5 [b3303]
	FALSE	ddl	D-alanyl-alanine synthetase A	cmr|Z0477|asap|ABH-0024368	putative enzyme Cell envelop: Murein sacculus, peptidoglycan [Z0477]
asap|ABH-0247454	FALSE			asap|ABH-0247454	predicted protein []
	FALSE	yqiC	conserved protein	cmr|b3042|asap|ABE-0009987	orf, hypothetical protein [b3042]
	FALSE	ydbD	predicted protein	cmr|b1407|asap|ABE-0004701	orf, hypothetical protein [b1407]
	FALSE	ECs1951	hypothetical protein	cmr|ECs1951|asap|ACA-0131916	hypothetical protein [ECs1951]
	FALSE	Z1494	unknown protein encoded by bacteriophage BP-933W	cmr|Z1494|asap|ABH-0025303	unknown protein encoded by bacteriophage BP-933W [Z1494]
	FALSE	rpmA	50S ribosomal subunit protein L27	cmr|b3185|asap|ABE-0010468	50S ribosomal subunit protein L27 [b3185]
	FALSE	ECs4465	hypothetical protein	cmr|ECs4465|asap|ACA-0134538	hypothetical protein [ECs4465]
	FALSE	ECs5304	hypothetical protein	cmr|ECs5304|asap|ACA-0135425	hypothetical protein [ECs5304]
--DCP_20_3	pos				
	FALSE	yqjE	conserved inner membrane protein	cmr|b3099|asap|ABE-0010195	orf, hypothetical protein [b3099]
	FALSE	puuB	gamma-Glu-putrescine oxidase, FAD/NAD(P)-binding	cmr|b1301|asap|ABE-0004378	probable oxidoreductase [b1301]
	FALSE	ECs0331	putative NADH-dependent flavin oxidoreductase	cmr|ECs0331|asap|ACA-0130222	putative NADH-dependent flavin oxidoreductase [ECs0331]
	FALSE	ylaC	predicted inner membrane protein	cmr|b0458|asap|ABE-0001587	orf, hypothetical protein [b0458]
	FALSE	phr	deoxyribodipyrimidine photolyase, FAD-binding	cmr|b0708|asap|ABE-0002417	deoxyribodipyrimidine photolyase [b0708]
	FALSE	dedA	hypothetical protein	cmr|c_2862|asap|ABR-0078999	DedA protein [c_2862]
	FALSE	infC	protein chain initiation factor IF-3	cmr|b1718|asap|ABE-0005734	protein chain initiation factor IF-3 [b1718]
	FALSE	ygdI	predicted protein	cmr|b2809|asap|ABE-0009214	orf, hypothetical protein [b2809]
cmr|c_1435|asap|ABR-0077543	FALSE			cmr|c_1435|asap|ABR-0077543	Hypothetical protein [c_1435]
	FALSE	ymfQ	e14 prophage; conserved protein	cmr|b1153|asap|ABE-0003874	orf, hypothetical protein [b1153]
asap|ACA-0244189	FALSE			asap|ACA-0244189	Type II secretion pathway related protein []
cmr|c_3401|asap|ABR-0079559	FALSE			cmr|c_3401|asap|ABR-0079559	Hypothetical protein [c_3401]
	FALSE	ygbJ	Hypothetical oxidoreductase ygbJ	cmr|c_3297|asap|ABR-0079453	Hypothetical oxidoreductase ygbJ [c_3297]
	FALSE	Z4852	putative phospholipid biosynthesis acyltransferase	cmr|Z4852|asap|ABH-0028504	putative phospholipid biosynthesis acyltransferase [Z4852]
	FALSE	ECs2167	putative minor tail protein	cmr|ECs2167|asap|ACA-0132137	putative minor tail protein [ECs2167]
	FALSE	yddM	Hypothetical protein yddM	cmr|c_1909|asap|ABR-0078026	Hypothetical protein yddM [c_1909]
	FALSE	ECs1644	minor tail protein	cmr|ECs1644|asap|ACA-0131593	minor tail protein [ECs1644]
	FALSE	yjgJ	predicted transcriptional regulator	cmr|b4251|asap|ABE-0013918	orf, hypothetical protein [b4251]
	FALSE	Z2041	unknown protein encoded by prophage CP-933O	cmr|Z2041|asap|ABH-0025824	unknown protein encoded by prophage CP-933O [Z2041]
	FALSE	sgbU	predicted L-xylulose 5-phosphate 3-epimerase	cmr|b3582|asap|ABE-0011700	probable 3-hexulose-6-phosphate isomerase [b3582]
	FALSE	ECs2136	multiple drug resistance protein MarC	cmr|ECs2136|asap|ACA-0132106	hypothetical protein [ECs2136]
	FALSE	ECs2907	hydroxyethylthiazole kinase	cmr|ECs2907|asap|ACA-0132912	hydoxyethylthiazole kinase [ECs2907]
	FALSE	ECs2912	nickel/cobalt efflux protein RcnA	cmr|ECs2912|asap|ACA-0132917	hypothetical protein [ECs2912]
	FALSE	dsbA	periplasmic protein disulfide isomerase I	cmr|b3860|asap|ABE-0012606	protein disulfide isomerase I, essential for cytochrome c synthesis and formate-dependent reduction [b3860]
cmr|c_1441|asap|ABR-0077549	FALSE			cmr|c_1441|asap|ABR-0077549	Hypothetical protein [c_1441]
	FALSE	Z4858	putative enzyme	cmr|Z4858|asap|ABH-0028510	putative enzyme [Z4858]
	FALSE	ECs3509	hypothetical protein	cmr|ECs3509|asap|ACA-0133537	hypothetical protein [ECs3509]
	FALSE	ECs2642	putative phage tail protein	cmr|ECs2642|asap|ACA-0132628	putative phage tail protein [ECs2642]
	FALSE	ymdF	conserved protein	asap|ABE-0285039	conserved protein [b4518]
	FALSE	ybcL	DLP12 prophage; predicted kinase inhibitor	cmr|b0545|asap|ABE-0001869	orf, hypothetical protein [b0545]
	FALSE	ispG	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase	cmr|b2515|asap|ABE-0008281	orf, hypothetical protein [b2515]
	FALSE	ECs3699	2-deoxy-D-gluconate 3-dehydrogenase	cmr|ECs3699|asap|ACA-0133740	2-deoxy-D-gluconate 3-dehydrogenase [ECs3699]
	FALSE	L7072	hypothetical protein	asap|ABH-0244140	unknown [L7072]
cmr|c_4953|asap|ABR-0081159	FALSE			cmr|c_4953|asap|ABR-0081159	NADH pyrophosphatase [c_4953]
cmr|c_0271|cmr|c_1285|cmr|c_3674|asap|ABR-0076343	FALSE			cmr|c_0271|cmr|c_1285|cmr|c_3674|asap|ABR-0076343	Hypothetical protein [c_0271]
	FALSE	ybcM	DLP12 prophage; predicted DNA-binding transcriptional regulator	cmr|b0546|asap|ABE-0001871	putative ARAC-type regulatory protein [b0546]
cmr|c_3668|cmr|c_5156|asap|ABR-0079838|asap|ABR-0081363	FALSE			cmr|c_3668|cmr|c_5156|asap|ABR-0079838|asap|ABR-0081363	Hypothetical protein yafZ [c_3668]
	FALSE	ycjQ	putative oxidoreductase	cmr|Z2470|asap|ABH-0026214	putative oxidoreductase [Z2470]
cmr|c_3766|asap|ABR-0079937	FALSE			cmr|c_3766|asap|ABR-0079937	Hypothetical protein [c_3766]
	FALSE	rsxG	predicted oxidoreductase	cmr|b1631|asap|ABE-0005459	orf, hypothetical protein [b1631]
	FALSE	ECs2192	hypothetical protein	cmr|ECs2192|cmr|ECs1779|cmr|ECs1086|asap|ACA-0132165	hypothetical protein [ECs2192]
	FALSE	wcaB	putative colanic acid biosynthesis acetyltransferase WcaB	cmr|Z3222|asap|ABH-0026948	putative transferase [Z3222]
cmr|ECs1023|asap|ACA-0130937	FALSE			cmr|ECs1023|asap|ACA-0130937	hypothetical protein [ECs1023]
	FALSE	fliT	predicted chaperone	cmr|b1926|asap|ABE-0006411	flagellar biosynthesis; repressor of class 3a and 3b operons [b1926]
	FALSE	ECs1956	hypothetical protein	cmr|ECs1956|asap|ACA-0131921	hypothetical protein [ECs1956]
	FALSE	yeaG	conserved protein with nucleoside triphosphate hydrolase domain	cmr|b1783|asap|ABE-0005935	orf, hypothetical protein [b1783]
	FALSE	yebF	predicted protein	cmr|b1847|asap|ABE-0006141	orf, hypothetical protein [b1847]
	FALSE	yghQ	predicted inner membrane protein	cmr|b2983|asap|ABE-0009786	orf, hypothetical protein [b2983]
	FALSE	Z3616	hypothetical protein	cmr|Z3616|asap|ABH-0027327	orf Unknown function [Z3616]
	FALSE	yaiS	conserved protein	cmr|b0364|asap|ABE-0001249	orf, hypothetical protein [b0364]
	FALSE	Z0885	putative LysR-like transcriptional regulator	cmr|Z0885|asap|ABH-0024719	putative LysR-like transcriptional regulator [Z0885]
	FALSE	ECs2044	putative transport protein	cmr|ECs2044|asap|ACA-0132012	putative transport protein [ECs2044]
	FALSE	ansB	periplasmic L-asparaginase II	cmr|b2957|asap|ABE-0009700	periplasmic L-asparaginase II [b2957]
	FALSE	fruR	DNA-binding transcriptional dual regulator	cmr|b0080|asap|ABE-0000299	transcriptional repressor of fru operon and others [b0080]
	FALSE	ECs1232	hypothetical protein	cmr|ECs1232|asap|ACA-0131159	hypothetical protein [ECs1232]
	FALSE	sgcC	KpLE2 phage-like element; predicted phosphotransferase enzyme IIC component	cmr|b4304|asap|ABE-0014105	putative PTS system enzyme IIC component [b4304]
	FALSE	yehC	predicted periplasmic pilin chaperone	cmr|b2110|asap|ABE-0006978	putative chaperone [b2110]
	FALSE	ydcC	conserved protein	cmr|b1460|cmr|b0705|asap|ABE-0004872	putative receptor [b1460]
	FALSE	yceH	hypothetical protein	cmr|Z1704|asap|ABH-0025505	orf, hypothetical protein [Z1704]
	FALSE	aat	leucyl/phenylalanyl-tRNA--protein transferase	cmr|c_1022|asap|ABR-0077114	Leucyl/phenylalanyl-tRNA--protein transferase [c_1022]
cmr|c_0549|asap|ABR-0076623	FALSE			cmr|c_0549|asap|ABR-0076623	Hypothetical protein [c_0549]
	FALSE	ybfA	predicted protein	cmr|b0699|asap|ABE-0002386	orf, hypothetical protein [b0699]
	FALSE	ECs0415	putative periplasmic-iron-binding protein	cmr|ECs0415|asap|ACA-0130306	putative periplasmic-iron-binding protein [ECs0415]
	FALSE	nadD	nicotinic acid mononucleotide adenylyltransferase, NAD(P)-dependent	cmr|b0639|asap|ABE-0002187	orf, hypothetical protein [b0639]
	FALSE	ygdL	conserved protein	cmr|b2812|asap|ABE-0009223	putative enzyme [b2812]
cmr|c_2432|asap|ABR-0078558	FALSE			cmr|c_2432|asap|ABR-0078558	Putative thioesterase [c_2432]
	FALSE	ECs3384	putative anaerobic dimethyl sulfoxide reductase chain A precursor	cmr|ECs3384|asap|ACA-0133403	putative anaerobic dimethyl sulfoxide reductase chain A precursor [ECs3384]
	FALSE	ldhA	fermentative D-lactate dehydrogenase, NAD-dependent	cmr|b1380|asap|ABE-0004619	fermentative D-lactate dehydrogenase, NAD-dependent [b1380]
cmr|c_1936|asap|ABR-0078052	FALSE			cmr|c_1936|asap|ABR-0078052	Type-1 fimbrial protein, A chain precursor [c_1936]
	FALSE	diaA	DnaA initiator-associating factor for replication initiation	cmr|b3149|asap|ABE-0010348	orf, hypothetical protein [b3149]
	FALSE	yigB	predicted hydrolase	cmr|b3812|asap|ABE-0012450	putative phosphatase [b3812]
	FALSE	ypjD	predicted inner membrane protein	cmr|b2611|asap|ABE-0008591	orf, hypothetical protein [b2611]
	FALSE	yajL	conserved protein	cmr|b0424|asap|ABE-0001472	4-methyl-5 [b0424]
	FALSE	terC	putative phage inhibition, colicin resistance and tellurite resistance protein	cmr|Z1174|cmr|Z1613|asap|ABH-0024997|asap|ABH-0025419	putative phage inhibition, colicin resistance and tellurite [Z1174]
	FALSE	ECs1944	hypothetical protein	cmr|ECs1944|asap|ACA-0131909	hypothetical protein [ECs1944]
	FALSE	gcvR	DNA-binding transcriptional repressor, regulatory protein accessory to GcvA	cmr|b2479|asap|ABE-0008168	transcriptional regulation of gcv operon [b2479]
	FALSE	malY	bifunctional beta-cystathionase, PLP-dependent/ regulator of maltose regulon	cmr|b1622|asap|ABE-0005432	enzyme that may degrade or block biosynthesis of endogenous mal inducer, probably aminotrasferase [b1622]
cmr|c_3640|asap|ABR-0079809	FALSE			cmr|c_3640|asap|ABR-0079809	Unknown in ISEc8 [c_3640]
	FALSE	yjdL	predicted transporter	cmr|b4130|asap|ABE-0013524	putative peptide transporter [b4130]
	FALSE	nfo	endonuclease IV with intrinsic 3'-5' exonuclease activity	cmr|b2159|asap|ABE-0007146	endonuclease IV [b2159]
	FALSE	oppC	oligopeptide transporter subunit	cmr|b1245|asap|ABE-0004176	homolog of Salmonella oligopeptide transport permease protein [b1245]
	FALSE	xisW	putative excisionase for bacteriophage BP-933W	cmr|Z1425|asap|ABH-0025239	putative excisionase for bacteriophage BP-933W [Z1425]
	FALSE	yijE	predicted permease	cmr|b3943|asap|ABE-0012906	orf, hypothetical protein [b3943]
	FALSE	yphG	hypothetical protein	cmr|Z3825|asap|ABH-0027521	orf, hypothetical protein [Z3825]
	FALSE	metF	5,10-methylenetetrahydrofolate reductase	cmr|b3941|asap|ABE-0012897	5,10-methylenetetrahydrofolate reductase [b3941]
	FALSE	sapB	predicted antimicrobial peptide transporter subunit	cmr|b1293|asap|ABE-0004350	homolog of Salmonella peptide transport permease protein [b1293]
	FALSE	yhhW	predicted protein	cmr|b3439|asap|ABE-0011228	orf, hypothetical protein [b3439]
cmr|b2031|asap|ABE-0006744	FALSE			cmr|b2031|asap|ABE-0006744	putative creatinase [b2031]
	FALSE	nikC	nickel transporter subunit	cmr|b3478|asap|ABE-0011358	transport of nickel, membrane protein [b3478]
	FALSE	ECs2206	hypothetical protein	cmr|ECs2206|asap|ACA-0132179	hypothetical protein [ECs2206]
	FALSE	wzxC	colanic acid exporter	cmr|c_2571|asap|ABR-0078705	Lipopolysaccharide biosynthesis protein wzxC [c_2571]
cmr|c_1744|asap|ABR-0077860	FALSE			cmr|c_1744|asap|ABR-0077860	Conserved hypothetical protein [c_1744]
	FALSE	chaA	calcium/sodium:proton antiporter	cmr|b1216|asap|ABE-0004082	sodium-calcium/proton antiporter [b1216]
	FALSE	ECs2833	H repeat-associated protein	cmr|ECs2833|asap|ACA-0132838	H repeat-associated protein [ECs2833]
	FALSE	ECs4550	EspF	cmr|ECs4550|asap|ACA-0134628	EspF protein [ECs4550]
	FALSE	leuB	3-isopropylmalate dehydrogenase	cmr|c_0090|asap|ABR-0076152	3-isopropylmalate dehydrogenase [c_0090]
	FALSE	ygaM	predicted protein	cmr|b2672|asap|ABE-0008799	orf, hypothetical protein [b2672]
	FALSE	rfbA	glucose-1-phosphate thymidylyltransferase	cmr|b2039|asap|ABE-0006762	glucose-1-phosphate thymidylyltransferase [b2039]
	FALSE	yadP	2'-5' RNA ligase	cmr|c_0180|asap|ABR-0076244	2-5 RNA ligase [c_0180]
	FALSE	chpA	toxin of the ChpA-ChpR toxin-antitoxin system, endoribonuclease	cmr|b2782|asap|ABE-0009119	probable growth inhibitor, PemK-like, autoregulated [b2782]
	FALSE	yrbG	predicted calcium/sodium:proton antiporter	cmr|b3196|asap|ABE-0010502	orf, hypothetical protein [b3196]
cmr|c_0335|asap|ABR-0076408	FALSE			cmr|c_0335|asap|ABR-0076408	Hypothetical protein [c_0335]
	FALSE	ECs0629	iron-enterobactin transporter membrane protein	cmr|ECs0629|asap|ACA-0130523	ferric enterobactin [ECs0629]
	FALSE	yagR	predicted oxidoreductase with molybdenum-binding domain	cmr|b0284|asap|ABE-0000988	orf, hypothetical protein [b0284]
	FALSE	sufE	sulfur acceptor protein	cmr|b1679|asap|ABE-0005608	orf, hypothetical protein [b1679]
	FALSE	ECs2168	minor tail protein	cmr|ECs2168|cmr|ECs2951|asap|ACA-0132138|asap|ACA-0132957	minor tail protein [ECs2168]
	FALSE	yddM	hypothetical protein	cmr|Z2233|asap|ABH-0026006	orf, hypothetical protein [Z2233]
	FALSE	yhcI	N-acetylmannosamine kinase	cmr|Z4580|asap|ABH-0028250	putative NAGC-like transcriptional regulator [Z4580]
	FALSE	Z1503	unknown protein encoded by bacteriophage BP-933W	cmr|Z1503|asap|ABH-0025308	unknown protein encoded by bacteriophage BP-933W [Z1503]
	FALSE	ECs1775	hypothetical protein	cmr|ECs1775|asap|ACA-0131731	hypothetical protein [ECs1775]
	FALSE	ECs1962	putative holin protein	cmr|ECs1962|cmr|ECs1530|cmr|ECs2743|cmr|ECs1100	putative holin protein [ECs1962]
	FALSE	ycfS	conserved protein	cmr|b1113|asap|ABE-0003760	orf, hypothetical protein [b1113]
	FALSE	frwB	predicted enzyme IIB component of PTS	cmr|b3950|asap|ABE-0012930	PTS system fructose-like IIB component 1 [b3950]
	FALSE	folA	dihydrofolate reductase	cmr|c_0058|asap|ABR-0076118	Dihydrofolate reductase [c_0058]
	FALSE	Z3973	hypothetical protein	cmr|Z3973|asap|ABH-0027647	putative regulator Not classified [Z3973]
	FALSE	yddE	conserved protein	cmr|b1464|asap|ABE-0004886	orf, hypothetical protein [b1464]
	FALSE	ECs4654	hypothetical protein	cmr|ECs4654|asap|ACA-0134732	hypothetical protein [ECs4654]
	FALSE	ECs4308	hypothetical protein	cmr|ECs4308|asap|ACA-0134380	hypothetical protein [ECs4308]
	FALSE	astB	succinylarginine dihydrolase	cmr|b1745|asap|ABE-0005817	orf, hypothetical protein [b1745]
	FALSE	Z4854	acyl carrier protein	cmr|Z4854|asap|ABH-0028506	putative acyl carrier protein [Z4854]
cmr|c_1062|asap|ABR-0077154	FALSE			cmr|c_1062|asap|ABR-0077154	Hypothetical protein [c_1062]
	FALSE	Z1429	unknown protein encoded by bacteriophage BP-933W	cmr|Z1429|asap|ABH-0025242	unknown protein encoded by bacteriophage BP-933W [Z1429]
cmr|ECs2921|asap|ACA-0132926	FALSE			cmr|ECs2921|asap|ACA-0132926	putative molybdate metabolism regulator [ECs2921]
	FALSE	ruvA	component of RuvABC resolvasome, regulatory subunit	cmr|b1861|asap|ABE-0006206	Holliday junction helicase subunit B; branch migration; repair [b1861]
	FALSE	Z5335	hypothetical protein	cmr|Z5335|asap|ABH-0028959	orf Unknown function [Z5335]
cmr|b4343	FALSE			cmr|b4343	orf, hypothetical protein [b4343]
	FALSE	ECs1622	putative endolysin	cmr|ECs1622|asap|ACA-0131571	putative endolysin [ECs1622]
	FALSE	yhjQ	pseudo	cmr|b3534	orf, hypothetical protein [b3534]
	FALSE	ECs1536	hypothetical protein	cmr|ECs1536|asap|ACA-0131483	hypothetical protein [ECs1536]
cmr|c_3827|asap|ABR-0079999	FALSE			cmr|c_3827|asap|ABR-0079999	Hypothetical protein [c_3827]
cmr|c_1764|asap|ABR-0077880	FALSE			cmr|c_1764|asap|ABR-0077880	Acriflavine resistance protein B [c_1764]
	FALSE	vsr	DNA mismatch endonuclease of very short patch repair	cmr|b1960|asap|ABE-0006507	DNA mismatch endonuclease, patch repair protein [b1960]
	FALSE	focB	predicted formate transporter	cmr|b2492|asap|ABE-0008206	probable formate transporter [b2492]
	FALSE	surA	peptidyl-prolyl cis-trans isomerase (PPIase)	cmr|b0053|asap|ABE-0000180	survival protein [b0053]
	FALSE	Z4862	hypothetical protein	cmr|Z4862|asap|ABH-0028514	orf Unknown function [Z4862]
	FALSE	dppB	dipeptide transporter permease DppB	cmr|c_4358|asap|ABR-0080534	Dipeptide transport system permease protein dppB [c_4358]
	FALSE	treA	periplasmic trehalase	cmr|b1197|asap|ABE-0004021	trehalase, periplasmic [b1197]
	FALSE	narW	Respiratory nitrate reductase 2 delta chain	cmr|c_1898|asap|ABR-0078016	Respiratory nitrate reductase 2 delta chain [c_1898]
	FALSE	qseC	sensory histidine kinase in two-component regulatory system with QseB	cmr|b3026|asap|ABE-0009938	putative 2-component sensor protein [b3026]
	FALSE	ada	ADA Regulatory protein	cmr|c_2754|asap|ABR-0078891	ADA Regulatory protein [c_2754]
	FALSE	wza	lipoprotein required for capsular polysaccharide translocation through the outer membrane	cmr|b2062|asap|ABE-0006825	putative polysaccharide export protein [b2062]
	FALSE	ECs4576	CesD	cmr|ECs4576|asap|ACA-0134654	type III secretion system CesD protein [ECs4576]
